,_id,date,ppl
231,235,2023-12-10T18:29:00.000-0300,462.99999999999994
232,236,2023-12-20T17:27:00.000-0300,638.9999663752523
233,237,2024-01-24T20:28:00.000-0300,805.999980340889
234,238,2024-02-10T20:00:00.000-0300,894.9538867625711
235,239,2024-02-09T20:49:00.000-0300,857.9999795739119
236,240,2024-03-14T17:45:00.000-0300,923.0
237,241,2024-03-25T18:09:00.000-0300,922.999962410961
238,242,2024-04-20T13:10:00.000-0300,966.0034769171334
239,243,2024-05-09T18:35:00.000-0300,1005.0000753825666
240,244,2024-05-27T08:49:00.000-0300,1004.0
241,245,2024-05-28T19:17:00.000-0300,1005.0001378977488
242,246,2024-06-27T18:52:00.000-0300,1045.9977426132048
